usuario,nombre,apellido,password,empresa,ou,grupo
Usuario01,Victor,Barrero,SSS00-un1ir,SSO,OU=Direccion,Direccion
Usuario02,Juan,Rodriguez,SSS00-un1ir,SSO,OU=Direccion,Direccion
Usuario03,Andres,Martinez,SSS00-un1ir,SSO,OU=Direccion,Direccion
Usuario04,Jose,Gonzalez,SSS00-un1ir,SSO,OU=Direccion,Direccion
Usuario05,Maria,Perez,SSS00-un1ir,SSO,OU=Direccion,Direccion
Usuario06,Andrea,Garcia,SSS00-un1ir,SSO,OU=Direccion,Direccion
Usuario07,Camila,Lopez,SSS00-un1ir,SSO,OU=Direccion,Direccion
Usuario08,Isabel,Hernandez,SSS00-un1ir,SSO,OU=Direccion,Direccion
Usuario09,Jefferson,Gomez,SSS00-un1ir,SSO,OU=Direccion,Direccion
Usuario10,Ingrid,Sanchez,SSS00-un1ir,SSO,OU=Direccion,Direccion
Usuario11,Paola,Diaz,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario12,Cindy,Torres,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario13,Marcela,Ramirez,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario14,Dayana,Rojas,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario15,Jhon,Jimenez,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario16,Freddy,Moreno,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario17,Felipe,Palacios,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario18,Melisa,Victoria,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario19,Danna,Arias,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario20,Diana,Mosquera,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario21,Angie,Rosero,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario22,Jesica,Mafla,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario23,Claudia,Grisales,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario24,Liliana,Duque,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario25,Carmen,Moreno,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario26,Rosa,Prado,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario27,Daniel,Sierra,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario28,German,Monsalvo,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario29,Monica,Arteaga,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario30,Evelyn,Arango,SSS00-un1ir,SSO,OU=RRHH,RRHH
Usuario31,Sandra,Ortiz,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario32,Vanesa,Mendoza,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario33,Adriana,Figueroa,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario34,Milena,Ruiz,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario35,Pablo,Villamil,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario36,Alonso,Gomez,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario37,Alejandra,Cadavid,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario38,Mayra,Nogales,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario39,Alexandra,Cuellar,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario40,Ricardo,Perafan,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario41,Martha,Cardenas,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario42,Julian,Melo,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario43,Pedro,Camacho,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario44,Francisco,Machado,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario45,Angelica,Bustamante,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario46,Ivan,Cepeda,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario47,Camila,Mondragon,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario48,Alvaro,Carrascal,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario49,Mercedes,Rangel,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
Usuario50,Pilar,Ramos,SSS00-un1ir,SSO,OU=Ingenieria,Ingenieria
